item_name,category_name,records_json
格萨（斯）尔,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""内蒙古自治区"", ""保护单位"": ""内蒙古自治区少数民族古籍征集研究室""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""四川省"", ""保护单位"": ""甘孜藏族自治州文化馆""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""云南省"", ""保护单位"": ""迪庆藏族自治州非物质文化遗产保护中心""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""西藏自治区"", ""保护单位"": ""西藏自治区文化厅""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""甘肃省"", ""保护单位"": ""西北民族大学""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""青海省"", ""保护单位"": ""青海省文学艺术界联合会""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""新疆维吾尔自治区"", ""保护单位"": ""新疆维吾尔自治区民间文艺家协会""}, {""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""中国社会科学院《格萨（斯）尔》办公室"", ""保护单位"": ""中国社会科学院《格萨（斯）尔》办公室""}, {""公布时间"": ""2014(第四批)"", ""申报地区或单位"": ""内蒙古自治区巴林右旗"", ""保护单位"": ""巴林右旗格斯尔文化研究发展中心""}]"
阿诗玛,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""云南省石林彝族自治县"", ""保护单位"": ""石林彝族自治县阿诗玛文化传承与保护中心（石林彝族自治县阿诗玛文化研究所、石林彝族自治县非物质文化遗产保护中心）""}]"
拉仁布与吉门索,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""青海省互助土族自治县"", ""保护单位"": ""互助土族自治县文化馆""}]"
畲族小说歌,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""福建省霞浦县"", ""保护单位"": ""霞浦县福宁文化艺术交流中心""}]"
青林寺谜语,民间文学,"[{""公布时间"": ""2006(第一批)"", ""申报地区或单位"": ""湖北省宜都市"", ""保护单位"": ""宜都市文化馆（宜都市文艺创作室）""}]"
谜语（澄海灯谜）,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""广东省汕头市澄海区"", ""保护单位"": ""汕头市澄海区文化馆""}]"
八达岭长城传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""北京市延庆县"", ""保护单位"": ""北京市延庆区博物馆（北京市延庆区文物管理所）""}]"
永定河传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""北京市石景山区"", ""保护单位"": ""北京市石景山区非物质文化遗产保护中心""}]"
杨家将传说（穆桂英传说）,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""北京市房山区"", ""保护单位"": ""北京市房山区燕山文化馆""}]"
杨家将传说（杨家将说唱）,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山西省"", ""保护单位"": ""广灵县文化馆""}]"
杨家将传说（杨七郎墓传说）,民间文学,"[{""公布时间"": ""2014(第四批)"", ""申报地区或单位"": ""天津市宁河县"", ""保护单位"": ""天津市宁河区文化馆""}]"
尧的传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山西省绛县"", ""保护单位"": ""绛县文化馆""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山东省菏泽市牡丹区"", ""保护单位"": ""菏泽市牡丹区文化馆""}]"
牛郎织女传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山西省和顺县"", ""保护单位"": ""和顺县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省沂源县"", ""保护单位"": ""沂源县文化馆（沂源县非物质文化遗产保护中心、沂源县书画院）""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""陕西省西安市长安区"", ""保护单位"": ""西咸新区沣东新城斗门街道办事处""}]"
西湖传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省杭州市"", ""保护单位"": ""杭州图书馆""}]"
刘伯温传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省文成县"", ""保护单位"": ""文成县非物质文化遗产保护中心""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省青田县"", ""保护单位"": ""青田县刘基研究会""}]"
黄初平（黄大仙）传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省金华市"", ""保护单位"": ""金华黄大仙文化研究会""}]"
观音传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省舟山市"", ""保护单位"": ""舟山市普陀山风景名胜区管理委员会""}]"
徐福东渡传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省象山县"", ""保护单位"": ""象山县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省慈溪市"", ""保护单位"": ""慈溪市徐福研究会""}]"
徐福传说,民间文学,"[{""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山东省胶南市"", ""保护单位"": ""青岛市黄岛区琅琊暨徐福研究会""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""山东省青岛市黄岛区"", ""保护单位"": ""青岛市黄岛区文化馆""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""江苏省赣榆县"", ""保护单位"": ""连云港市赣榆区金山镇文化站""}]"
陶朱公传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省定陶县"", ""保护单位"": ""菏泽市定陶区文化馆""}]"
麒麟传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省巨野县"", ""保护单位"": ""巨野县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省嘉祥县"", ""保护单位"": ""嘉祥县公共文化服务中心（嘉祥县图书馆、嘉祥县文化馆）""}]"
鲁班传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省曲阜市"", ""保护单位"": ""曲阜市公共文化服务中心（曲阜市文化馆、曲阜市图书馆、曲阜市非物质文化遗产保护中心）""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省滕州市"", ""保护单位"": ""山东省滕州市文化馆""}]"
八仙传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省蓬莱市"", ""保护单位"": ""蓬莱市文化馆""}]"
秃尾巴老李的传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省即墨市"", ""保护单位"": ""青岛圣龙山旅游开发有限公司""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省莒县"", ""保护单位"": ""莒县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省文登市"", ""保护单位"": ""威海市文登区文化馆（威海市文登区非物质文化遗产保护中心、威海市文登区美术馆）""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省诸城市"", ""保护单位"": ""诸城市文化馆""}]"
屈原传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖北省秭归县"", ""保护单位"": ""秭归县文化馆（县非物质文化遗产保护中心）""}]"
王昭君传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖北省兴山县"", ""保护单位"": ""兴山县文化馆""}]"
炎帝神农传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖北省随州市"", ""保护单位"": ""随县文化馆（随县非物质文化遗产保护中心）""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖北省神农架林区"", ""保护单位"": ""神农架林区群众艺术馆""}]"
木兰传说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""河南省虞城县"", ""保护单位"": ""虞城县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖北省武汉市黄陂区"", ""保护单位"": ""武汉市黄陂区文化馆（武汉市黄陂区非物质文化遗产保护中心）""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""陕西省延安市宝塔区"", ""保护单位"": ""延安市宝塔区文化馆""}]"
巴拉根仓的故事,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""内蒙古自治区通辽市"", ""保护单位"": ""通辽市群众艺术馆""}]"
北票民间故事,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""辽宁省北票市"", ""保护单位"": ""北票市文旅体育事务服务中心（北票市博物馆、北票市文物考古研究所、北票市尹湛纳希纪念馆）""}]"
满族民间故事,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""辽宁省文学艺术界联合会民间文艺家协会"", ""保护单位"": ""辽宁省文化遗产保护中心（辽宁省非物质文化遗产保护中心）""}]"
徐文长故事,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""浙江省绍兴市"", ""保护单位"": ""绍兴市文化馆、绍兴市非物质文化遗产保护中心""}]"
崂山民间故事,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""山东省青岛市崂山区"", ""保护单位"": ""青岛市崂山区文化旅游产业协会""}]"
都镇湾故事,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖北省长阳土家族自治县"", ""保护单位"": ""长阳土家族自治县民族民间传统文化保护中心""}]"
盘古神话,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""河南省桐柏县"", ""保护单位"": ""桐柏县人民文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""河南省泌阳县"", ""保护单位"": ""泌阳县文化馆""}]"
邵原神话群,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""河南省济源市"", ""保护单位"": ""济源市邵原镇女娲文化研究基地""}]"
嘎达梅林,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""内蒙古自治区科尔沁左翼中旗"", ""保护单位"": ""科尔沁左翼中旗文化遗产保护中心""}]"
科尔沁潮尔史诗,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""内蒙古自治区"", ""保护单位"": ""内蒙古师范大学""}]"
仰阿莎,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""贵州省黔东南苗族侗族自治州"", ""保护单位"": ""黔东南苗族侗族自治州文化研究所""}]"
布依族盘歌,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""贵州省盘县"", ""保护单位"": ""盘州市非物质文化遗产保护中心""}]"
梅葛,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""云南省楚雄彝族自治州"", ""保护单位"": ""楚雄彝族自治州非物质文化遗产保护中心""}]"
查姆,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""云南省双柏县"", ""保护单位"": ""双柏县文化馆""}]"
达古达楞格莱标,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""云南省德宏傣族景颇族自治州"", ""保护单位"": ""德宏州文化馆""}]"
哈尼哈吧,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""云南省元阳县"", ""保护单位"": ""元阳县文化馆""}]"
召树屯与喃木诺娜,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""云南省西双版纳傣族自治州"", ""保护单位"": ""西双版纳傣族自治州文化馆""}]"
米拉尕黑,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""甘肃省东乡族自治县"", ""保护单位"": ""东乡族自治县文化馆""}]"
康巴拉伊,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""青海省治多县"", ""保护单位"": ""治多县民族语文工作中心""}]"
汗青格勒,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""青海省海西蒙古族藏族自治州"", ""保护单位"": ""海西州文化馆（海西州非物质文化遗产传承保护中心、 海西州民族文化体育活动中心）""}]"
维吾尔族达斯坦,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""新疆维吾尔自治区"", ""保护单位"": ""新疆维吾尔自治区民间文艺家协会""}]"
哈萨克族达斯坦,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""新疆维吾尔自治区文学艺术界联合会民间文艺家协会"", ""保护单位"": ""新疆维吾尔自治区民间文艺家协会""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""新疆维吾尔自治区沙湾县"", ""保护单位"": ""沙湾县文化馆""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""新疆维吾尔自治区福海县"", ""保护单位"": ""福海县文化馆""}]"
珠郎娘美,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""贵州省榕江县"", ""保护单位"": ""榕江县非物质文化遗产保护中心""}, {""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""贵州省从江县"", ""保护单位"": ""从江县非物质文化遗产保护中心""}]"
